t,value
1681858238,0
1681858241,0
1681858244,0
1681858247,0
1681858250,0
1681858253,0
1681858256,0
1681858259,0
1681858262,0
1681858265,0
1681858268,0
1681858271,0
1681858274,0
1681858277,0
1681858280,0
1681858283,0
1681858286,0
1681858289,0
1681858292,0
1681858295,0
1681858298,0
1681858301,0
1681858304,0
1681858307,0
1681858310,0
1681858313,0
1681858316,0
1681858319,0
1681858322,0
1681858325,0
1681858328,0
1681858331,0
1681858334,0
1681858337,0
1681858340,0
1681858343,0
1681858346,0
1681858349,0
1681858352,0
1681858355,0
1681858358,0
1681858361,0
1681858364,0
1681858367,0
1681858370,0
1681858373,0
1681858376,0
1681858379,0
1681858382,0
1681858385,0
1681858388,0
1681858391,0
1681858394,0
1681858397,0
1681858400,0
1681858403,0
1681858406,0
1681858409,0
1681858412,0
1681858415,0
1681858418,0
1681858421,0
1681858424,0
1681858427,0
1681858430,0
1681858433,0
1681858436,0
1681858439,0
1681858442,0
1681858445,0
1681858448,0
1681858451,0
1681858454,0
1681858457,0
1681858460,0
1681858463,0
1681858466,0
1681858469,0
1681858472,0
1681858475,0
1681858478,0
1681858481,0
1681858484,0
1681858487,0
1681858490,0
1681858493,0
1681858496,0
1681858499,0
1681858502,0
1681858505,0
1681858508,0
1681858511,0
1681858514,0
1681858517,0
1681858520,0
1681858523,0
1681858526,0
1681858529,0
1681858532,0
1681858535,0
1681858538,0
1681858541,0
1681858544,0
1681858547,0
1681858550,0
1681858553,0
1681858556,0
1681858559,0
1681858562,0
1681858565,0
1681858568,0
1681858571,0
1681858574,0
1681858577,0
1681858580,0
1681858583,0
1681858586,0
1681858589,0
1681858592,0
1681858595,0
1681858598,0
1681858601,0
1681858604,0
1681858607,0
1681858610,0
1681858613,0
1681858616,0
1681858619,0
1681858622,0
1681858625,0
1681858628,0
1681858631,0
1681858634,0
1681858637,0
1681858640,0
1681858643,0
1681858646,0
1681858649,0
1681858652,0
1681858655,0
1681858658,0
1681858661,0
1681858664,0
1681858667,0
1681858670,0
1681858673,0
1681858676,0
1681858679,0
1681858682,0
1681858685,0
1681858688,0
1681858691,0
1681858694,0
1681858697,0
1681858700,0
1681858703,0
1681858706,0
1681858709,0
1681858712,0
1681858715,0
1681858718,0
1681858721,0
1681858724,0
1681858727,0
1681858730,0
1681858733,0
1681858736,0
1681858739,0
1681858742,0
1681858745,0
1681858748,0
1681858751,0
1681858754,0
1681858757,0
1681858760,0
1681858763,0
1681858766,0
1681858769,0
1681858772,0
1681858775,0
1681858778,0
1681858781,0
1681858784,0
1681858787,0
1681858790,0
1681858793,0
1681858796,0
1681858799,0
1681858802,0
1681858805,0
1681858808,0
1681858811,0
1681858814,0
1681858817,0
1681858820,0
1681858823,0
1681858826,0
1681858829,0
1681858832,0
1681858835,0
1681858838,0
1681858841,0
1681858844,0
1681858847,0
1681858850,0
1681858853,0
1681858856,0
1681858859,0
1681858862,0
1681858865,0
1681858868,0
1681858871,0
1681858874,0
1681858877,0
1681858880,0
1681858883,0
1681858886,0
1681858889,0
1681858892,0
1681858895,0
1681858898,0
1681858901,0
1681858904,0
1681858907,0
1681858910,0
1681858913,0
1681858916,0
1681858919,0
1681858922,0
1681858925,0
1681858928,0
1681858931,0
1681858934,0
1681858937,0
1681858940,0
1681858943,0
1681858946,0
1681858949,0
1681858952,0
1681858955,0
1681858958,0
1681858961,0
1681858964,0
1681858967,0
1681858970,0
1681858973,0
1681858976,0
1681858979,0
1681858982,0
1681858985,0
1681858988,0
1681858991,0
1681858994,0
1681858997,0
1681859000,0
1681859003,0
1681859006,0
1681859009,0
1681859012,0
1681859015,0
1681859018,0
1681859021,0
1681859024,0
1681859027,0
1681859030,0
1681859033,0
1681859036,0
